合成号,ID,名前,职业,罗马音,置信度,出现年代,各年代槽号,各年代组织,是否当主
9143,lord_tk5_pirate_kinzaemon,金左卫门,pirate,kinzaemon,高,1560|1582,1560:1088|1582:1157,1560:骏河水军|1582:坊津水军,
9115,lord_tk5_pirate_ginbee,银兵卫,pirate,ginbee,高,1554|1575|1598,1554:1119|1575:1123|1598:1002,1554:相模水军|1575:骏河水军|1598:安东水军,
9102,lord_tk5_pirate_chousaburoo,长三郎,pirate,chousaburoo,高,1554|1560|1568,1554:1147|1560:1060|1568:1120,1554:土佐水军|1560:淡路水军|1568:骏河水军,
9100,lord_tk5_pirate_chougoroo,长五郎,pirate,chougoroo,高,1560|1575,1560:1109|1575:1125,1560:骏河水军|1575:熊野水军,
9103,lord_tk5_pirate_chousuke,长助,pirate,chousuke,高,1560|1582,1560:1090|1582:1158,1560:丹后水军|1582:坊津水军,
9101,lord_tk5_pirate_choujiroo,长次郎,pirate,choujiroo,高,1554|1568|1575,1554:1152|1568:1136|1575:1127,1554:五岛水军|1568:盐饱水军|1575:熊野水军,
9127,lord_tk5_pirate_hayato,隼人,pirate,hayato,高,1560|1568|1582,1560:1146|1568:1122|1582:1125,1560:村上水军|1568:骏河水军|1582:熊野水军,
9156,lord_tk5_pirate_manosuke,马之助,pirate,manosuke,高,1560|1568|1575,1560:1093|1568:1113|1575:1114,1560:丹后水军|1568:房总水军|1575:房总水军,
9162,lord_tk5_pirate_onishichi,鬼七,pirate,onishichi,高,1554|1568|1598,1554:1113|1568:1116|1598:1044,1554:房总水军|1568:相模水军|1598:土佐水军,
9196,lord_tk5_pirate_tsuru,鹤,pirate,tsuru,高,1554|1560,1554:1141|1560:1057,1554:村上水军|1560:村上水军,
9197,lord_tk5_pirate_tsuruchiyo,鹤千代,pirate,tsuruchiyo,高,1554|1560|1575,1554:1159|1560:1046|1575:1149,1554:坊津水军|1560:相模水军|1575:丰后水军,
9198,lord_tk5_pirate_tsurukichi,鹤吉,pirate,tsurukichi,高,1575|1582|1598,1575:1119|1582:1126|1598:1052,1575:相模水军|1582:熊野水军|1598:房总水军,
9139,lord_tk5_pirate_kameshichi,龟七,pirate,kameshichi,高,1554|1568|1598,1554:1130|1568:1131|1598:1035,1554:丹后水军|1568:丹后水军|1598:淡路水军,
